"Name","Gross Export","Share","Code","Sector"
"Other articles of iron or steel","928105472","0.1897019001895597","7326","Metals"
"Copper mattes","78389976","0.016022669676721807","7401","Metals"
"Unrefined copper","39278484","0.008028401163618198","7402","Metals"
"Refined copper and copper alloys","858815040","0.17553914928256423","7403","Metals"
"Copper waste and scrap","487528928","0.09964941143993065","7404","Metals"
"Master alloys of copper","136999","0.00002800217368405893","7405","Metals"
"Copper powders and flakes","451263","0.0000922367674449411","7406","Metals"
"Copper bars, rods and profiles","61053236","0.012479093412695269","7407","Metals"
"Copper wire","137957184","0.02819802354273882","7408","Metals"
"Copper plates, sheets and strip > 0.15 mm","27951030","0.005713104451188268","7409","Metals"
"Copper foil < 0.15 mm thick","3977387","0.00081296565363775","7410","Metals"
"Copper tubes and pipes","199951424","0.04086945527502324","7411","Metals"
"Copper tube or pipe fittings","45442408","0.009288288246176023","7412","Metals"
"Copper wire, uninsulated","6759603","0.0013816420356446819","7413","Metals"
"Screws and similar articles of copper","9145993","0.0018694128022772954","7415","Metals"
"Household articles of copper","5129829","0.0010485212492611065","7418","Metals"
"Other articles of copper","26927242","0.005503845336949075","7419","Metals"
"Nickel mattes","501221","0.00010244802878924446","7501","Metals"
"Nickel unwrought","128604","0.00002628626153814783","7502","Metals"
"Nickel waste and scrap","24577784","0.005023623357376949","7503","Metals"
"Nickel bars, wire etc.","8754805","0.0017894551798193236","7505","Metals"
"Nickel plates","229784","0.00004696714193401264","7506","Metals"
"Nickel tubes and pipes","8688639","0.0017759310531908121","7507","Metals"
"Other articles of nickel","91800272","0.018763692879421395","7508","Metals"
"Unwrought aluminum","45111144","0.009220578904770056","7601","Metals"
"Waste or scrap, aluminium","344049632","0.07032268521084503","7602","Metals"
"Aluminum powders","258429","0.00005282209171598088","7603","Metals"
"Aluminum bars","429356608","0.08775916838527584","7604","Metals"
"Aluminum wire","5220817","0.0010671189162452827","7605","Metals"
"Aluminum plates > 0.2 mm","32513098","0.006645577100583428","7606","Metals"
"Aluminum foil < 0.2 mm","6102146","0.0012472598496155846","7607","Metals"
"Aluminum tubes and pipes","49154828","0.010047095461032876","7608","Metals"
"Aluminum tube or pipe fittings","23884412","0.004881900255955308","7609","Metals"
"Aluminum structures (bridges, towers etc)","207111456","0.042332943765066376","7610","Metals"
"Aluminum containers, >300 liters","325955","0.00006662419815609915","7611","Metals"
"Aluminum containers, <300 liters","204119088","0.041721312961464745","7612","Metals"
"Aluminum containers for compressed or liquefied gas","417687","0.00008537393644897789","7613","Metals"
"Aluminum wire, not insulated","44445472","0.0090845175980407","7614","Metals"
"Household articles of aluminum","12023087","0.002457481955288367","7615","Metals"
"Other articles of aluminum","332456128","0.06795300869776952","7616","Metals"
"Lead refined unwrought","230537600","0.04712117545315005","7801","Metals"
"Lead waste or scrap","2030032","0.00041493228890866003","7802","Metals"
"Lead foil <2mm","309365","0.00006323325324833678","7804","Metals"
"Other articles of lead","976577","0.00019960933123495218","7806","Metals"
"Unwrought zinc","509504672","0.1041411858348125","7901","Metals"
"Zinc waste and scrap","15681930","0.0032053381963463544","7902","Metals"
"Zinc powders","247149","0.00005051649445500682","7903","Metals"
"Zinx bars and wire","437190","0.00008936028958557159","7904","Metals"
"Zinc plates and foil","901504","0.00018426464123733646","7905","Metals"
"Other articles of zinc","9190688","0.0018785483226300642","7907","Metals"
"Unwrought tin","2105607","0.00043037958616026594","8001","Metals"
"Tin waste and scrap","2398329","0.0004902110614640645","8002","Metals"
"Tin bars and wire","12906673","0.002638084212507784","8003","Metals"
"Other articles of tin","956322","0.00019546927161429354","8007","Metals"
"Tungsten (wolfram)","9773310","0.001997634465128577","8101","Metals"
"Molybdenum","931354","0.00019036588930826517","8102","Metals"
"Tantalum","3021597","0.0006176051211850554","8103","Metals"
"Magnesium","10851413","0.002217995398093818","8104","Metals"
"Cobalt","4830622","0.0009873642599291682","8105","Metals"
"Bismuth","2267672","0.0004635051730485425","8106","Metals"
"Cadmium","2249752","0.0004598423802367823","8107","Metals"
"Titanium","49248680","0.010066278520796789","8108","Metals"
"Zirconium","21894","0.0000044750661730289","8109","Metals"
"Antimony","4474882","0.0009146520995019598","8110","Metals"
"Manganese","1599452","0.00032692306296626557","8111","Metals"
"Other metals","247952","0.00005068062518200702","8112","Metals"
"Cermets","4572574","0.0009346200434398213","8113","Metals"
"Handtools for gardening","79976736","0.016346998533975636","8201","Metals"
"Handsaws","23262080","0.004754697511751717","8202","Metals"
"Pliers, pincers and other metal handtools","22586290","0.004616568116982776","8203","Metals"
"Wrenches","12049189","0.0024628171237020147","8204","Metals"
"Hand tools n.e.c.","91664688","0.01873597992737956","8205","Metals"
"Retail tool sets","901605","0.00018428528532628667","8206","Metals"
"Interchangeable tools for hand tools","170729360","0.0348965553886395","8207","Metals"
"Knives and blades for machines","14143202","0.002890826931968333","8208","Metals"
"Articles for utensils, of cermet","55749436","0.011395013026812804","8209","Metals"
"Hand-operated appliances, food preparation, <10kg","1406942","0.0002875746118394823","8210","Metals"
"Knife sets","8538294","0.0017452009982084412","8211","Metals"
"Razors","384512992","0.07859327137979957","8212","Metals"
"Scissors","621564","0.00012704576736880126","8213","Metals"
"Other cutlery","2148773","0.00043920258362189764","8214","Metals"
"Cutlery","710414","0.00014520643373737793","8215","Metals"
"Padlocks and locks","1129588480","0.23088440651736233","8301","Metals"
"Base metal mountings, fittings and similar articles","787388224","0.16093972806539242","8302","Metals"
"Safes","105445336","0.021552701938305767","8303","Metals"
"Paper trays and similar office equipment, of base metal","44886","0.00000917456016454623","8304","Metals"
"Paper clips and similar office articles, of metal","1003007","0.0002050115418384579","8305","Metals"
"Ornaments, statuettes, etc. of metal","10738779","0.002194973355372847","8306","Metals"
"Flexible tubing of base metal","26602006","0.005437368100178671","8307","Metals"
"Clasps, buckles etc. of metal","14607171","0.0029856607666825944","8308","Metals"
"Stoppers, caps and lids of metal","306282560","0.06260321200532996","8309","Metals"
"Sign plates and similar plates of base metal","15794245","0.00322829503644975","8310","Metals"
"Wire etc. used for welding","38114676","0.007790522392598723","8311","Metals"
"Nuclear reactors and related equipment","12373","0.0000025290030948609927","8401","Machinery"
"Steam boilers","28120260","0.005747694542010489","8402","Machinery"
"Central heating boilers","2256950","0.00046131362926909536","8403","Machinery"
"Auxiliary parts for use with boilers","24168548","0.004939976779301418","8404","Machinery"
"Water gas generators","3729676","0.0007623342881135349","8405","Machinery"
"Steam turbines","31910212","0.006522349058891973","8406","Machinery"
"Spark-ignition reciprocating internal combustion piston engines","4091785472","0.8363483490014747","8407","Machinery"
"Compression-ignition internal combustion piston engines","1799057152","0.367721741310903","8408","Machinery"
"Parts suitable for use with spark-ignition engines","3899742464","0.7970953496012958","8409","Machinery"
"Hydraulic turbines, water wheels and regulators","3227673","0.0006597264209326166","8410","Machinery"
"Gas turbines","1805583616","0.3690557304529461","8411","Machinery"
"Other engines and motors","475906624","0.09727384829555054","8412","Machinery"
"Pumps for liquids","2548878592","0.5209829344211533","8413","Machinery"
"Pumps, compressors, fans, etc.","2607773440","0.5330208599738379","8414","Machinery"
"Air conditioners","3912067328","0.7996145138460012","8415","Machinery"
"Furnace burners","23437960","0.004790646842093927","8416","Machinery"
"Industrial furnaces","25044870","0.005119094297291783","8417","Machinery"
"Refrigerators, freezers","5095570944","1.0415190081192718","8418","Machinery"
"Equipment for temperature change of materials","941990720","0.1925400021183492","8419","Machinery"
"Calendering or other rolling machines, other than for metals or glass","3154994","0.0006448710571621968","8420","Machinery"
"Centrifuges","2597295616","0.5308792250168017","8421","Machinery"
"Dish washing machines","29850652","0.006101381337720721","8422","Machinery"
"Weighing machinery","97643472","0.019958024964113204","8423","Machinery"
"Sprays and powder dispersers","525527680","0.10741623932394061","8424","Machinery"
"Pulleys and winches","126035848","0.025761339178487806","8425","Machinery"
"Ships' derricks; cranes","13840864","0.002829029975878938","8426","Machinery"
"Fork-lift trucks","150457776","0.030753106049454616","8427","Machinery"
"Other lifting machinery","897300416","0.18340544161351782","8428","Machinery"
"Self-propelled bulldozers, excavators and road rollers","10180287","0.0020808193105611517","8429","Machinery"
"Other moving, excavating or boring machinery","67042164","0.013703211851788426","8430","Machinery"
"Parts for use with hoists and excavation machinery","1544973568","0.3157878392427406","8431","Machinery"
"Machinery for soil preparation or cultivation","68601096","0.014021852751544174","8432","Machinery"
"Harvesting or agricultural machinery","325661696","0.06656424772178775","8433","Machinery"
"Dairy machinery","2507933","0.0005126137815165291","8434","Machinery"
"Machines for wine and juice production","98830","0.000020200547633161878","8435","Machinery"
"Other agricultural machinery","20192442","0.004127272958118572","8436","Machinery"
"Machinery for processing grain","1190030","0.00024323846706355995","8437","Machinery"
"Machinery for the industrial preparation of food or drink","29987986","0.006129451984373079","8438","Machinery"
"Machinery for making paper","5978948","0.0012220785578285736","8439","Machinery"
"Bookbinding machinery","1041463","0.0002128718298054808","8440","Machinery"
"Other machinery for making paper","3998040","0.0008171870632326875","8441","Machinery"
"Machinery for making printing components","2350509","0.00048043680073536066","8442","Machinery"
"Printers and copiers","463126688","0.0946616687355307","8443","Machinery"
"Machines to extrude, cut manmade textile fibres","346018","0.00007072501356806036","8444","Machinery"
"Machines for preparing textile fibers","383595","0.00007840563664214034","8445","Machinery"
"Looms","379881","0.00007764650648014941","8446","Machinery"
"Knitting machines","224315","0.000045849295176896754","8447","Machinery"
"Auxiliary machinery for use with knitting and textile machines","558720","0.00011420064730952346","8448","Machinery"
"Machinery to manufacture felt","22693","0.000004638379312347895","8449","Machinery"
"Household- or laundry-type washing machines","406647808","0.08311755960158723","8450","Machinery"
"Machinery for processing fabrics","931868224","0.19047099511020907","8451","Machinery"
"Sewing machines","2501432","0.0005112849971376645","8452","Machinery"
"Machinery for preparing leather","2440603","0.0004988517368727894","8453","Machinery"
"Machines used in metallurgy","774394","0.00015828374869811552","8454","Machinery"
"Metal-rolling mills","2646393","0.0005409145791011449","8455","Machinery"
"Machines for working materials by laser and similar means","6190543","0.0012653279241792658","8456","Machinery"
"Machining centers for working metal","1253561","0.00025622400780708326","8457","Machinery"
"Lathes for removing metal","6759874","0.0013816974272100832","8458","Machinery"
"Machine tools for drilling by removing metal","1777159","0.000363245826481861","8459","Machinery"
"Machines with grinding stones for finishing metal","1703171","0.00034812290714276984","8460","Machinery"
"Other machine tools for planing and cutting metals","10184725","0.002081726424093439","8461","Machinery"
"Machine tools for molding and forging metals","19164462","0.003917157011989484","8462","Machinery"
"Other machine tools for working metal, without removal","1922020","0.00039285496875331166","8463","Machinery"
"Machine tools for working stone","617053","0.00012612373286133193","8464","Machinery"
"Machine tools for working wood","36724992","0.007506475262809762","8465","Machinery"
"Parts and accessories for metal working machines","38714032","0.007913028913161521","8466","Machinery"
"Tools for hand working, pneumatic, hydraulic motors","148756576","0.030405386008641754","8467","Machinery"
"Machinery for soldering","33545608","0.0068566189647614705","8468","Machinery"
"Word processing machines","42223","0.000008630251165789678","8469","Machinery"
"Cash registers, calculators, etc.","41868856","0.008557865222847268","8470","Machinery"
